"Cron Jobs Configuration","Cron Jobs Configuration"
"Cron Jobs","Cron Jobs"
"Error","Error"
"Missed","Missed"
"Pending","Pending"
"Running","Running"
"Success","Success"
"Code","Code"
"Group","Group"
"Instance","Instance"
"Method","Method"
"Schedule","Schedule"
"Delete Items","Delete Items"
"Delete items?","Delete items?"
"Delete","Delete"
"ID","ID"
"Job Code","Job Code"
"Status","Status"
"Messages","Messages"
"Created Date","Created Date"
"Scheduled Date","Scheduled Date"
"Executed Date","Executed Date"
"Finished Date","Finished Date"
"Cron Job Management","Cron Job Management"